"CUSEC";"longitude";"latitude";"tot_pob"
"1503004026";-8,41818902336151;43,3591553182028;890
"1503004028";-8,41548095190219;43,3569307980451;1231
"1503004029";-8,41233532653839;43,3525553666952;984
"1503005001";-8,40956986371145;43,3679808309695;1622
"1503005002";-8,41314031985405;43,3677494412798;1064
"1503005003";-8,41205815308178;43,3664401675521;1453
"1503005004";-8,4150751968381;43,3645658710349;1839
"1503005005";-8,41785121963757;43,3663149926471;1305
"1503005006";-8,42154413709837;43,3699513409848;1575
"1503005007";-8,4235874249184;43,3675080314407;1632
"1503005008";-8,42615383775915;43,3715727947189;2271
"1503005009";-8,42088164598841;43,3721413186055;1396
"1503005010";-8,42188153299299;43,3752524176218;731
"1503005011";-8,43894649611615;43,3760727657904;1359
"1503005012";-8,43147978058773;43,3673234888461;1800
"1503005013";-8,41186530179159;43,3654783563477;1075
"1503005014";-8,41724513104573;43,3693967580637;2175
"1503005015";-8,42265530968432;43,3731331782276;1352
"1503005016";-8,42315916415336;43,3664537420081;1240
"1503005017";-8,42697077223995;43,3744055172699;1730
"1503005018";-8,43502127249722;43,3755338452372;2155
"1503005019";-8,43400125818593;43,3735968049443;1402
"1503005020";-8,43031338764361;43,3737128115662;1119
"1503005021";-8,43441165419058;43,3746923337558;1591
"1503005022";-8,43428093599284;43,3722295337116;2211
"1503006001";-8,41566207515806;43,3630933839472;1478
"1503006002";-8,41907932685708;43,3639401719953;1597
"1503006003";-8,41805535388407;43,3629896019661;1040
"1503006004";-8,41896836348178;43,3610208534402;879
"1503006005";-8,42028516299696;43,3601348219759;1072
"1503006006";-8,42148841176737;43,3589738373774;788
"1503006007";-8,42162635018219;43,3599143135407;916
"1503006008";-8,41918869656332;43,3619037266367;932
"1503006009";-8,42043826922019;43,3622497639429;1444
"1503006010";-8,42325936082638;43,3617827623028;1143
"1503006011";-8,42067136489328;43,3635204533357;756
"1503006012";-8,4241269514473;43,3625000791812;1617
"1503006013";-8,42383828189537;43,3636493309679;1065
"1503006014";-8,4228849514282;43,3643818427534;1375
"1503006015";-8,42159642005017;43,3652300438284;1325
"1503006016";-8,42381403719514;43,3650124035793;1451
"1503006017";-8,41714053709275;43,3609485556558;1384
"1503006018";-8,41735759525666;43,3619484165757;1082
"1503006019";-8,41881971632806;43,3601224662407;1052
"1503006020";-8,42158848258155;43,3619166350879;843
"1503006021";-8,42202780824;43,3631859243794;970
"1503006022";-8,42213359596184;43,3642075357172;713
"1503006023";-8,42214616398404;43,3608520516377;1230
"1503007001";-8,39617011355992;43,3536488719736;1323
"1503007002";-8,39266823896074;43,3529067968242;1611
"1503007003";-8,39555349879125;43,3528798002864;836
"1503007004";-8,38933391474408;43,3518744796919;1468
"1503007005";-8,3934690347814;43,3522331443029;1100
"1503007006";-8,39063360866876;43,3508936096767;1868
"1503007007";-8,3957609659412;43,3513118681967;1554
"1503007008";-8,39779322249223;43,3516765126277;1664
"1503007009";-8,40286449289573;43,3531298985409;1719
"1503007010";-8,40029404541964;43,353703752731;1168
"1503007011";-8,3989706694025;43,3532443379424;1502
"1503007012";-8,39859096204831;43,3550834946711;1500
"1503007013";-8,39197701275627;43,3541526764381;1967
"1503007014";-8,38819832143205;43,3523727767191;1606
"1503007015";-8,41181587694477;43,3488426923517;1642
"1503007016";-8,41235050900234;43,3463292924553;1088
"1503007017";-8,40632421768451;43,3499128918691;685
"1503007018";-8,40435710579048;43,3479296010718;1119
"1503007019";-8,40950409706286;43,3466235242301;1004
"1503007020";-8,40363169861347;43,350516788389;1531
"1503007021";-8,39758478675951;43,3481565587473;1516
"1503007022";-8,40009972082348;43,3471900571829;1299
"1503007023";-8,40212457094533;43,3461011425493;1339
"1503007025";-8,40386061788567;43,3445400484392;694
"1503007026";-8,40088608138938;43,3443641329766;800
"1503007027";-8,40373511822763;43,343530147883;1067
"1503007028";-8,41310282740518;43,342128758309;1319
"1503007029";-8,40848017197194;43,3500084590213;1004
"1503007030";-8,41105161291423;43,3441810672836;1327
"1503007031";-8,42304612647293;43,3430767537914;1435
"1503007033";-8,40558526297178;43,3452902899541;925
"1503007034";-8,40732305503152;43,3465812082751;828
"1503007035";-8,4014788524747;43,3478416708237;1527
"1503007036";-8,41469034006017;43,3376324726995;1811
"1503007038";-8,39884878686182;43,3468176552855;1264
"1503007039";-8,3956326002677;43,349275441444;1192
"1503007040";-8,39325609924775;43,3502621409025;1154
"1503007041";-8,40037360710699;43,3502595591945;1004
"1503007042";-8,40528481880846;43,3404574682306;2102
"1503007043";-8,40269536495507;43,3417954440128;1418
"1503007044";-8,40858103152531;43,3392111892119;855
"1503008001";-8,39572060769669;43,3410475196257;1300
"1503008002";-8,39726781558753;43,3453332566439;2063
"1503008003";-8,38984023331831;43,3439285030014;1630
"1503008004";-8,39801765383042;43,3372322569072;1619
"1503008005";-8,39759407695623;43,3263121658632;2059
"1503008006";-8,3851079036381;43,3295070106048;1211
"1503008007";-8,39088603713205;43,3331800755571;862
"1503009001";-8,40865233404336;43,3302829790357;686
"1503009002";-8,43040157187786;43,3208262752857;1957
"1503009003";-8,43831617643466;43,3335528679001;2562
"1503009004";-8,44574478943449;43,3247394737381;2654
"1503009005";-8,45004387584234;43,3214903159817;1538
"1503009006";-8,4300621200497;43,3269628194863;837
"1503009007";-8,42226324096235;43,3110624220376;2101
"1503010001";-8,44504984735876;43,3572120623412;864
"1503010002";-8,42376823364104;43,3591301966874;1646
"1503010003";-8,42492623276376;43,3601745296759;1474
"1503010004";-8,42620522222301;43,3611971653521;1349
"1503010005";-8,42168931217999;43,3529205713134;2370
"1503010006";-8,42037172489998;43,3573896072776;1172
"1503101001";-8,36735115948397;43,3049393309679;1232
"1503101002";-8,36718190244306;43,3142506372112;1333
"1503101003";-8,36970830813424;43,316248351777;2281
"1503101004";-8,37303625269447;43,3159956221232;1493
